iter	Passed	Remaining
1411	10472	63693
1412	10479	63685
1413	10487	63679
1414	10493	63664
1415	10500	63654
1416	10508	63649
1417	10515	63642
1418	10522	63632
1419	10530	63625
1420	10539	63627
1421	10546	63621
1422	10554	63614
1423	10561	63607
1424	10568	63596
1425	10575	63584
1426	10581	63573
1427	10589	63567
1428	10596	63553
1429	10602	63543
1430	10609	63532
1431	10617	63525
1432	10624	63515
1433	10630	63503
1434	10637	63494
1435	10644	63484
1436	10652	63478
1437	10660	63474
1438	10668	63467
1439	10674	63451
1440	10681	63442
1441	10688	63435
1442	10695	63423
1443	10701	63410
1444	10708	63400
1445	10716	63394
1446	10723	63387
1447	10734	63396
1448	10741	63389
1449	10749	63384
1450	10757	63378
1451	10764	63369
1452	10771	63361
1453	10777	63347
1454	10785	63339
1455	10792	63329
1456	10798	63315
1457	10805	63305
1458	10811	63290
1459	10818	63278
1460	10825	63271
1461	10832	63263
1462	10839	63252
1463	10847	63246
1464	10855	63240
1465	10861	63229
1466	10868	63218
1467	10875	63209
1468	10883	63203
1469	10890	63194
1470	10897	63182
1471	10904	63173
1472	10922	63230
1473	10932	63238
1474	10941	63237
1475	10950	63238
1476	10956	63226
1477	10962	63210
1478	10969	63198
1479	10976	63190
1480	10983	63180
1481	10991	63172
1482	10997	63162
1483	11004	63150
1484	11010	63134
1485	11017	63126
1486	11023	63110
1487	11031	63102
1488	11038	63093
1489	11044	63082
1490	11052	63073
1491	11058	63061
1492	11065	63048
1493	11071	63032
1494	11078	63025
1495	11086	63019
1496	11094	63018
1497	11102	63014
1498	11109	63001
1499	11116	62991
1500	11122	62977
1501	11129	62967
1502	11136	62956
1503	11143	62947
1504	11149	62935
1505	11157	62927
1506	11164	62918
1507	11171	62911
1508	11178	62901
1509	11185	62890
1510	11192	62878
1511	11200	62875
1512	11207	62869
1513	11215	62864
1514	11222	62852
1515	11229	62845
1516	11237	62838
1517	11244	62828
1518	11250	62815
1519	11257	62806
1520	11264	62793
1521	11270	62780
1522	11278	62773
1523	11286	62769
1524	11294	62766
1525	11304	62777
1526	11315	62786
1527	11322	62780
1528	11330	62775
1529	11337	62764
1530	11345	62759
1531	11352	62752
1532	11360	62745
1533	11367	62737
1534	11375	62731
1535	11382	62720
1536	11389	62712
1537	11396	62704
1538	11403	62693
1539	11411	62688
1540	11418	62682
1541	11425	62671
1542	11432	62658
1543	11439	62651
1544	11446	62640
1545	11453	62630
1546	11461	62624
1547	11468	62615
1548	11475	62609
1549	11483	62602
1550	11491	62598
