"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","大塚五丁目","","18","9","-30896.8","-9377.7","35.721469","139.729679","1","1","0","0"
"東京都","文京区","大塚一丁目","","11","9","-31407.1","-9410.2","35.716869","139.729326","1","1","0","0"
"東京都","文京区","大塚五丁目","","9","9","-30431.1","-9373.1","35.725666","139.729724","1","1","0","0"
"東京都","文京区","音羽一丁目","","15","9","-31578.3","-9385.8","35.715326","139.729597","1","1","0","0"
"東京都","文京区","音羽一丁目","","22","9","-31707.6","-9379.3","35.714160","139.729671","1","1","0","0"
"東京都","文京区","大塚五丁目","","19","9","-30835.0","-9384.8","35.722026","139.729599","1","1","0","0"
"東京都","文京区","大塚五丁目","","14","9","-30542.7","-9378.7","35.724660","139.729663","1","0","0","0"
"東京都","文京区","大塚五丁目","","10","9","-30477.3","-9371.5","35.725250","139.729742","1","1","0","0"
"東京都","文京区","大塚一丁目","","11","9","-31511.6","-9374.6","35.715927","139.729720","1","0","0","0"
"東京都","文京区","大塚五丁目","","22","9","-30729.9","-9387.1","35.722973","139.729573","1","1","0","0"
"東京都","文京区","音羽一丁目","","14","9","-31621.1","-9372.6","35.714940","139.729743","1","1","0","0"
"東京都","文京区","関口一丁目","","45","9","-32193.3","-9343.7","35.709783","139.730070","1","1","0","0"
"東京都","文京区","音羽一丁目","","22","9","-31776.9","-9350.9","35.713536","139.729985","1","0","0","0"
"東京都","文京区","音羽一丁目","","9","9","-31665.9","-9356.8","35.714536","139.729919","1","1","0","0"
"東京都","文京区","大塚四丁目","","53","9","-30401.8","-9354.5","35.725931","139.729929","1","1","0","0"
"東京都","文京区","音羽一丁目","","24","9","-31887.1","-9346.0","35.712543","139.730041","1","1","0","0"
"東京都","文京区","関口一丁目","","48","9","-32225.2","-9330.8","35.709495","139.730213","1","1","0","0"
"東京都","文京区","大塚四丁目","","52","9","-30409.1","-9334.6","35.725865","139.730149","1","1","0","0"
"東京都","文京区","音羽一丁目","","25","9","-31874.6","-9310.8","35.712656","139.730429","1","1","0","0"
"東京都","文京区","音羽一丁目","","27","9","-31982.6","-9304.3","35.711682","139.730503","1","1","0","0"
"東京都","文京区","大塚五丁目","","17","9","-30899.8","-9320.0","35.721442","139.730317","1","1","0","0"
"東京都","文京区","大塚五丁目","","5","9","-30663.7","-9316.7","35.723570","139.730350","1","1","0","0"
"東京都","文京区","音羽一丁目","","26","9","-31978.7","-9268.3","35.711718","139.730900","1","1","0","0"
"東京都","文京区","関口一丁目","","47","9","-32182.6","-9251.4","35.709880","139.731090","1","1","0","0"
"東京都","文京区","大塚四丁目","","50","9","-30544.5","-9274.6","35.724645","139.730814","1","1","0","0"
"東京都","文京区","関口一丁目","","48","9","-32223.0","-9249.3","35.709516","139.731113","1","0","0","0"
"東京都","文京区","大塚二丁目","","15","9","-30949.2","-9230.6","35.720998","139.731305","1","1","0","0"
